level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1245	812	-1	
2	1	1	0	0	0	519	10	241	33	-1	
3	1	1	1	0	0	519	10	241	33	-1	
4	1	1	1	1	0	519	10	241	33	-1	
5	1	1	1	1	1	519	10	45	29	91.965439	The
5	1	1	1	1	2	568	11	51	27	91.965439	New
5	1	1	1	1	3	624	11	60	32	83.975502	ork
5	1	1	1	1	4	688	10	72	26	7.426361	Eimes
2	1	2	0	0	0	48	78	1184	16	-1	
3	1	2	1	0	0	48	78	1184	16	-1	
4	1	2	1	1	0	48	78	1184	16	-1	
5	1	2	1	1	1	48	78	32	13	81.373215	Eric
5	1	2	1	1	2	83	78	57	13	81.373215	Adams
5	1	2	1	1	3	144	78	88	16	79.685089	Corruption
5	1	2	1	1	4	237	78	40	13	79.309204	Case
5	1	2	1	1	5	317	78	28	13	37.932541	The
5	1	2	1	1	6	350	78	45	13	45.894695	Latest
5	1	2	1	1	7	422	78	52	13	45.894695	Justice
5	1	2	1	1	8	479	78	48	16	78.568260	Dept’s
5	1	2	1	1	9	533	78	46	13	69.483482	Memo
5	1	2	1	1	10	608	78	91	13	38.965473	Prosecutor's
5	1	2	1	1	11	704	78	90	16	94.580360	Resignation,
5	1	2	1	1	12	798	78	76	13	70.450684	Annotated
5	1	2	1	1	13	888	67	9	34	32.591354	—
5	1	2	1	1	14	904	78	46	13	32.591354	Bove’s
5	1	2	1	1	15	955	78	76	16	93.038498	Response,
5	1	2	1	1	16	1035	78	76	13	77.429497	Annotated
5	1	2	1	1	17	1139	78	28	13	12.940430	The
5	1	2	1	1	18	1171	78	61	16	96.792671	Charges
2	1	3	0	0	0	317	98	78	1	-1	
3	1	3	1	0	0	317	98	78	1	-1	
4	1	3	1	1	0	317	98	78	1	-1	
5	1	3	1	1	1	317	98	78	1	95.000000	 
2	1	4	0	0	0	274	197	224	15	-1	
3	1	4	1	0	0	274	197	224	15	-1	
4	1	4	1	1	0	274	197	224	15	-1	
5	1	4	1	1	1	274	198	33	11	0.000000	[EZ
5	1	4	1	1	2	331	198	56	14	71.479034	Updated
5	1	4	1	1	3	394	198	16	12	96.637817	10
5	1	4	1	1	4	416	197	53	13	96.251785	minutes
5	1	4	1	1	5	474	201	24	11	96.251785	ago
2	1	5	0	0	0	265	235	662	162	-1	
3	1	5	1	0	0	265	235	662	162	-1	
4	1	5	1	1	0	266	235	661	47	-1	
5	1	5	1	1	1	266	235	87	37	95.658112	Live
5	1	5	1	1	2	366	235	179	47	96.720512	Updates:
5	1	5	1	1	3	558	235	140	37	96.333656	Justice
5	1	5	1	1	4	711	235	108	47	96.846619	Dept.
5	1	5	1	1	5	830	235	97	37	96.859924	Asks
4	1	5	1	2	0	265	292	606	47	-1	
5	1	5	1	2	1	265	292	121	47	96.395584	Judge
5	1	5	1	2	2	398	301	38	28	96.243629	to
5	1	5	1	2	3	449	292	154	37	96.243629	Dismiss
5	1	5	1	2	4	611	292	142	37	96.505913	Adams
5	1	5	1	2	5	765	292	106	45	96.505913	Case,
4	1	5	1	3	0	266	350	482	47	-1	
5	1	5	1	3	1	266	350	170	47	96.336807	Capping
5	1	5	1	3	2	447	350	98	47	96.848785	Days
5	1	5	1	3	3	557	350	42	37	96.848785	of
5	1	5	1	3	4	608	350	140	37	96.450401	Drama
2	1	6	0	0	0	265	423	712	98	-1	
3	1	6	1	0	0	265	423	712	98	-1	
4	1	6	1	1	0	265	423	709	23	-1	
5	1	6	1	1	1	265	423	42	18	96.964256	The
5	1	6	1	1	2	314	428	61	13	96.850510	move
5	1	6	1	1	3	381	428	43	13	96.487877	was
5	1	6	1	1	4	432	423	101	23	96.500824	preceded
5	1	6	1	1	5	540	423	28	23	96.934708	by
5	1	6	1	1	6	574	428	59	13	96.859062	wave
5	1	6	1	1	7	639	423	22	18	96.903587	of
5	1	6	1	1	8	666	423	137	23	96.338516	resignations
5	1	6	1	1	9	810	423	21	18	96.304535	of
5	1	6	1	1	10	837	424	137	22	96.882042	prosecutors,
4	1	6	1	2	0	265	460	712	23	-1	
5	1	6	1	2	1	265	460	51	18	96.754578	each
5	1	6	1	2	2	323	460	92	23	96.342842	refusing
5	1	6	1	2	3	421	461	21	17	96.772720	to
5	1	6	1	2	4	450	460	45	23	96.873459	sign
5	1	6	1	2	5	502	460	35	18	96.792137	the
5	1	6	1	2	6	543	460	78	18	96.780006	motion
5	1	6	1	2	7	628	460	39	18	96.747620	and
5	1	6	1	2	8	676	465	58	13	96.640564	some
5	1	6	1	2	9	740	460	111	23	96.351456	criticizing
5	1	6	1	2	10	857	460	35	18	96.689758	the
5	1	6	1	2	11	899	460	78	18	96.863693	Justice
4	1	6	1	3	0	266	498	498	23	-1	
5	1	6	1	3	1	266	499	135	22	96.786392	Department
5	1	6	1	3	2	408	498	60	18	96.871071	order
5	1	6	1	3	3	474	499	21	17	96.409035	to
5	1	6	1	3	4	502	498	26	18	96.722015	do
5	1	6	1	3	5	536	503	23	13	95.864098	so
5	1	6	1	3	6	566	498	20	18	96.375999	in
5	1	6	1	3	7	594	498	93	23	96.151787	scathing
5	1	6	1	3	8	694	499	70	17	96.835396	terms.
2	1	7	0	0	0	278	551	249	24	-1	
3	1	7	1	0	0	278	551	249	24	-1	
4	1	7	1	1	0	278	551	249	24	-1	
5	1	7	1	1	1	278	551	24	24	51.773258	Bi
5	1	7	1	1	2	309	557	103	11	39.615753	sharetullarticle
5	1	7	1	1	3	450	553	24	18	64.341614	AD
2	1	8	0	0	0	260	608	760	204	-1	
3	1	8	1	0	0	260	608	760	204	-1	
4	1	8	1	1	0	260	608	760	204	-1	
5	1	8	1	1	1	260	608	760	204	95.000000	 
